Question,OptionA,OptionB,OptionC,OptionD,Correct,Description
If CPI rises from 95 to 100 what is the inflation rate for the period,0.2999999999999998 percent,5.3 percent,15.3 percent,10.3 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 28891 Unemployed equals 2840 Adult population equals 41133 what are the unemployment rate and the labour force participation rate,91.0 percent and 77.1 percent,9.0 percent and 77.1 percent,77.1 percent and 9.0 percent,9.0 percent and 22.900000000000006 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 102 to 112 what is the inflation rate for the period,4.800000000000001 percent,19.8 percent,14.8 percent,9.8 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
With reserve ratio at 10 percent and a new deposit of 500 dollars what is the maximum deposit money created in the simple model,5000 dollars,500 dollars,4500 dollars,5500 dollars,A,In the simple fractional reserve model without currency drain broad money equals initial deposit times the simple multiplier one over R.
Given Employed equals 26448 Unemployed equals 2345 Adult population equals 32502 what are the unemployment rate and the labour force participation rate,91.9 percent and 88.6 percent,8.1 percent and 88.6 percent,88.6 percent and 8.1 percent,8.1 percent and 11.400000000000006 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 13024 Unemployed equals 4226 Adult population equals 30271 what are the unemployment rate and the labour force participation rate,75.5 percent and 57.0 percent,24.5 percent and 43.0 percent,57.0 percent and 24.5 percent,24.5 percent and 57.0 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 18144 Unemployed equals 1169 Adult population equals 21014 what are the unemployment rate and the labour force participation rate,91.9 percent and 6.1 percent,6.1 percent and 8.099999999999994 percent,6.1 percent and 91.9 percent,93.9 percent and 91.9 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If money supply grows 6 percent and real GDP grows 4 percent what is the predicted inflation rate in the quantity theory,0 percent,7 percent,4 percent,2 percent,D,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Given Employed equals 41321 Unemployed equals 3416 Adult population equals 56303 what are the unemployment rate and the labour force participation rate,92.4 percent and 79.5 percent,79.5 percent and 7.6 percent,7.6 percent and 79.5 percent,7.6 percent and 20.5 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 9963 Unemployed equals 4531 Adult population equals 24263 what are the unemployment rate and the labour force participation rate,59.7 percent and 31.3 percent,31.3 percent and 40.3 percent,68.7 percent and 59.7 percent,31.3 percent and 59.7 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 48543 Unemployed equals 3573 Adult population equals 55035 what are the unemployment rate and the labour force participation rate,6.9 percent and 5.299999999999997 percent,6.9 percent and 94.7 percent,93.1 percent and 94.7 percent,94.7 percent and 6.9 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If money supply grows 12 percent and real GDP grows 1 percent what is the predicted inflation rate in the quantity theory,13 percent,9 percent,16 percent,11 percent,D,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Job search frictions make some unemployment unavoidable even in a healthy economy,Frictional unemployment can be zero,True,Any unemployment means recession,False,B,It takes time for workers and firms to find good matches so some unemployment is natural.
If CPI rises from 103 to 123 what is the inflation rate for the period,24.4 percent,19.4 percent,29.4 percent,14.399999999999999 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 15223 Unemployed equals 3383 Adult population equals 31105 what are the unemployment rate and the labour force participation rate,18.2 percent and 59.8 percent,18.2 percent and 40.2 percent,81.8 percent and 59.8 percent,59.8 percent and 18.2 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 27325 Unemployed equals 146 Adult population equals 45839 what are the unemployment rate and the labour force participation rate,0.5 percent and 59.9 percent,59.9 percent and 0.5 percent,0.5 percent and 40.1 percent,99.5 percent and 59.9 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 41539 Unemployed equals 602 Adult population equals 50410 what are the unemployment rate and the labour force participation rate,98.6 percent and 83.6 percent,1.4 percent and 83.6 percent,83.6 percent and 1.4 percent,1.4 percent and 16.400000000000006 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If money supply grows 8 percent and real GDP grows 3 percent what is the predicted inflation rate in the quantity theory,7 percent,5 percent,10 percent,3 percent,B,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
If money supply grows 4 percent and real GDP grows 4 percent what is the predicted inflation rate in the quantity theory,0 percent,2 percent,5 percent,0 percent,D,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Given Employed equals 34429 Unemployed equals 3258 Adult population equals 43431 what are the unemployment rate and the labour force participation rate,86.8 percent and 8.6 percent,8.6 percent and 86.8 percent,91.4 percent and 86.8 percent,8.6 percent and 13.200000000000003 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 104 to 134 what is the inflation rate for the period,23.8 percent,33.8 percent,38.8 percent,28.8 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 97 to 109 what is the inflation rate for the period,7.4 percent,12.4 percent,17.4 percent,22.4 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 39314 Unemployed equals 494 Adult population equals 56989 what are the unemployment rate and the labour force participation rate,1.2 percent and 69.9 percent,69.9 percent and 1.2 percent,1.2 percent and 30.099999999999994 percent,98.8 percent and 69.9 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Expected inflation is 3 percent and the real interest rate is 1 percent what nominal rate is consistent with the Fisher equation,5 percent,3 percent,6 percent,4 percent,D,The Fisher relationship says nominal equals real plus expected inflation so add the two numbers to obtain the nominal rate.
If CPI rises from 96 to 116 what is the inflation rate for the period,25.8 percent,15.8 percent,30.8 percent,20.8 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Expected inflation is 5 percent and the real interest rate is 3 percent what nominal rate is consistent with the Fisher equation,8 percent,9 percent,10 percent,7 percent,A,The Fisher relationship says nominal equals real plus expected inflation so add the two numbers to obtain the nominal rate.
If CPI rises from 104 to 129 what is the inflation rate for the period,34.0 percent,29.0 percent,19.0 percent,24.0 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 120 to 130 what is the inflation rate for the period,8.3 percent,13.3 percent,3.3000000000000007 percent,18.3 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 28266 Unemployed equals 3565 Adult population equals 43142 what are the unemployment rate and the labour force participation rate,11.2 percent and 26.200000000000003 percent,11.2 percent and 73.8 percent,73.8 percent and 11.2 percent,88.8 percent and 73.8 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 24224 Unemployed equals 3982 Adult population equals 39203 what are the unemployment rate and the labour force participation rate,71.9 percent and 14.1 percent,85.9 percent and 71.9 percent,14.1 percent and 71.9 percent,14.1 percent and 28.099999999999994 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If the reserve ratio is 8 percent what is the simple money multiplier in a basic fractional reserve model,13,12,24,11,B,The simple multiplier equals one divided by the reserve ratio written as a fraction so compute one over R.
Given Employed equals 38461 Unemployed equals 3133 Adult population equals 60629 what are the unemployment rate and the labour force participation rate,68.6 percent and 7.5 percent,7.5 percent and 68.6 percent,92.5 percent and 68.6 percent,7.5 percent and 31.400000000000006 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Expected inflation is 5 percent and the real interest rate is 0 percent what nominal rate is consistent with the Fisher equation,6 percent,7 percent,5 percent,4 percent,C,The Fisher relationship says nominal equals real plus expected inflation so add the two numbers to obtain the nominal rate.
Expected inflation is 6 percent and the real interest rate is 3 percent what nominal rate is consistent with the Fisher equation,11 percent,10 percent,8 percent,9 percent,D,The Fisher relationship says nominal equals real plus expected inflation so add the two numbers to obtain the nominal rate.
If money supply grows 3 percent and real GDP grows 5 percent what is the predicted inflation rate in the quantity theory,0 percent,3 percent,-2 percent,0 percent,C,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
If CPI rises from 90 to 102 what is the inflation rate for the period,23.3 percent,13.3 percent,8.3 percent,18.3 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 95 to 107 what is the inflation rate for the period,12.6 percent,22.6 percent,7.6 percent,17.6 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If the reserve ratio is 10 percent what is the simple money multiplier in a basic fractional reserve model,10,9,20,11,A,The simple multiplier equals one divided by the reserve ratio written as a fraction so compute one over R.
Indexation of wages and pensions to inflation can reduce the real effects of price level changes on purchasing power,False,Indexation always causes stagflation,Indexation increases inflation tax,True,D,When payments adjust automatically to consumer prices the real income of recipients is better preserved.
Given Employed equals 29701 Unemployed equals 4030 Adult population equals 46086 what are the unemployment rate and the labour force participation rate,88.1 percent and 73.2 percent,11.9 percent and 26.799999999999997 percent,73.2 percent and 11.9 percent,11.9 percent and 73.2 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 43667 Unemployed equals 252 Adult population equals 49105 what are the unemployment rate and the labour force participation rate,0.6 percent and 89.4 percent,99.4 percent and 89.4 percent,89.4 percent and 0.6 percent,0.6 percent and 10.599999999999994 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 10021 Unemployed equals 3640 Adult population equals 33301 what are the unemployment rate and the labour force participation rate,41.0 percent and 26.6 percent,26.6 percent and 59.0 percent,26.6 percent and 41.0 percent,73.4 percent and 41.0 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 24589 Unemployed equals 2138 Adult population equals 39938 what are the unemployment rate and the labour force participation rate,92.0 percent and 66.9 percent,8.0 percent and 66.9 percent,8.0 percent and 33.099999999999994 percent,66.9 percent and 8.0 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 108 to 126 what is the inflation rate for the period,26.7 percent,16.7 percent,11.7 percent,21.7 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 37242 Unemployed equals 3080 Adult population equals 41611 what are the unemployment rate and the labour force participation rate,92.4 percent and 96.9 percent,7.6 percent and 96.9 percent,7.6 percent and 3.0999999999999943 percent,96.9 percent and 7.6 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 17090 Unemployed equals 3222 Adult population equals 28852 what are the unemployment rate and the labour force participation rate,15.9 percent and 70.4 percent,70.4 percent and 15.9 percent,84.1 percent and 70.4 percent,15.9 percent and 29.599999999999994 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Research and development increases total factor productivity and supports sustained growth in output per worker,It reduces productivity long run,False,R and D only changes prices,True,D,Innovation allows more output to be produced with given inputs which raises real incomes over time.
If money supply grows 5 percent and real GDP grows 4 percent what is the predicted inflation rate in the quantity theory,3 percent,0 percent,6 percent,1 percent,D,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Given Employed equals 36721 Unemployed equals 3534 Adult population equals 49337 what are the unemployment rate and the labour force participation rate,91.2 percent and 81.6 percent,8.8 percent and 18.400000000000006 percent,8.8 percent and 81.6 percent,81.6 percent and 8.8 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 42160 Unemployed equals 609 Adult population equals 43408 what are the unemployment rate and the labour force participation rate,1.4 percent and 98.5 percent,98.6 percent and 98.5 percent,1.4 percent and 1.5 percent,98.5 percent and 1.4 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 10568 Unemployed equals 256 Adult population equals 19860 what are the unemployment rate and the labour force participation rate,97.6 percent and 54.5 percent,54.5 percent and 2.4 percent,2.4 percent and 45.5 percent,2.4 percent and 54.5 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 104 to 122 what is the inflation rate for the period,27.3 percent,22.3 percent,17.3 percent,12.3 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Expected inflation is 4 percent and the real interest rate is 3 percent what nominal rate is consistent with the Fisher equation,7 percent,6 percent,8 percent,9 percent,A,The Fisher relationship says nominal equals real plus expected inflation so add the two numbers to obtain the nominal rate.
Given Employed equals 17442 Unemployed equals 2571 Adult population equals 39774 what are the unemployment rate and the labour force participation rate,87.2 percent and 50.3 percent,12.8 percent and 50.3 percent,50.3 percent and 12.8 percent,12.8 percent and 49.7 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
